Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
8:30 am,14.9,11.8,74,W,17 9,26 14,1008.9,1.6,2025-09-30
8:00 am,14.6,12.0,77,W,15 8,26 14,1008.5,1.6,2025-09-30
7:30 am,13.9,11.4,82,WNW,15 8,24 13,1008.4,1.6,2025-09-30
7:00 am,13.5,11.3,83,W,13 7,19 10,1008.2,1.6,2025-09-30
6:30 am,12.5,10.5,85,W,11 6,22 12,1008.0,1.6,2025-09-30
6:00 am,12.4,10.4,85,W,11 6,20 11,1007.7,1.6,2025-09-30
5:30 am,12.4,10.4,86,W,11 6,20 11,1007.6,1.6,2025-09-30
5:00 am,12.5,10.6,87,W,11 6,19 10,1007.6,1.6,2025-09-30
4:30 am,12.5,10.6,88,W,11 6,19 10,1007.4,1.6,2025-09-30
4:00 am,13.0,11.3,89,W,11 6,22 12,1007.2,1.6,2025-09-30
3:30 am,13.2,11.2,89,W,13 7,20 11,1007.1,1.6,2025-09-30
3:00 am,13.4,10.7,89,W,17 9,26 14,1006.9,1.6,2025-09-30
2:30 am,13.8,10.7,86,W,19 10,30 16,1006.9,1.6,2025-09-30
2:00 am,14.2,12.6,91,W,13 7,22 12,1007.0,1.6,2025-09-30
1:30 am,14.2,13.8,93,WSW,7 4,11 6,1007.4,1.6,2025-09-30
1:00 am,14.0,14.8,92,CALM,0 0,0 0,1007.3,1.6,2025-09-30
12:30 am,14.3,14.2,93,S,6 3,11 6,1007.0,1.6,2025-09-30
12:00 am,14.6,13.9,91,SSW,9 5,17 9,1007.4,1.6,2025-09-30
